Year;Fund;Index;Tracking Difference
2013;22.8;22.7;-0.1
2014;4.3;4.2;-0.1
2015;-2.2;-2.2;0
2016;8;8;0
2017;24;24;0
2018;-9.6;-9.6;0
2019;26.6;26.5;-0.1
2020;16;16;0
2021;18.3;18.4;0.1
2022;-18.1;-18.1;0
2023;22;22;0
2024;17.2;17.2;0
2025;22.6;22.6;0
