Anno;Valore
2000;100.0
2001;83.791
2002;67.605
2003;90.582
2004;104.381
2005;115.691
2006;139.933
2007;156.253
2008;90.322
2009;121.597
2010;137.003
2011;126.937
2012;147.411
2013;181.023
2014;188.555
2015;184.097
2016;198.575
2017;246.178
2018;223.002
2019;282.314
2020;328.204
2021;389.045
2022;317.601
2023;388.114
2024;455.990
2025;557.846
